,upc,marketing,relative_revenue
160,2840002333,D,1.5719791720184584
161,3000006340,F,3.913996316979126
162,7218063052,D,2.821067609631365
163,3700031613,FD,1.7559295546373932
164,1111009477,N,1.0
165,7192100339,FD,2.508142817165971
166,3700019521,D,1.9200997604664978
167,7218063983,T,1.4573846863562463
168,1111087395,F,1.842361259503661
169,1111085350,T,1.0668777984159552
170,1111085319,F,1.1714311882158917
171,2066200531,N,1.0
172,3800039118,FD,5.086830495603016
173,1111009507,F,1.5211402780176406
174,3000006340,FD,4.652940981956829
175,2066200530,T,1.615835305318234
176,88491212971,FD,3.274905531069326
177,7218063979,FD,4.268422433295192
178,7110410471,N,1.0
179,88491201426,F,1.6301423413037894
180,3800031829,D,1.76665805595214
181,1111085345,FD,1.5300109540863416
182,3000006560,N,1.0
183,3700019521,T,1.420986489423345
184,31254742835,D,1.4745053017255838
185,88491201426,FD,2.420007269141507
186,3000006560,T,1.3180289623946086
187,1111038078,D,1.4936573553230255
188,7027316204,D,1.5824038424277804
189,7110410470,T,0.9300635571839883
190,88491201427,D,1.7310168855205654
191,88491212971,N,0.9999999999999998
192,88491212971,D,2.979712636869465
193,1600027564,N,1.0
194,2066200532,FD,2.093360664012499
195,2066200530,F,1.477181295847207
196,3500068914,N,1.0
197,1600027527,T,0.9401224277730856
198,2066200532,N,1.0
199,7218063979,N,1.0
200,1111087396,T,1.1200920964875227
201,2840004768,N,1.0
202,3000006560,FD,2.833172913049668
203,2066200531,D,2.1110940540534933
204,3700044982,D,1.181671193339252
205,2066200530,FD,1.845642057515019
206,1111038078,T,0.964400045160956
207,3700031613,T,1.1074089064868093
208,31254742735,FD,2.223549606013647
209,3700031613,D,1.2291555443703337
210,7797502248,D,2.228290853884081
211,2840004770,N,1.0
212,7218063979,F,3.364999516180584
213,1111087395,N,1.0
214,2840004768,F,1.8316110601134385
215,2840004768,D,1.6654254124710706
216,7218063983,FD,3.2321702311106395
217,1111038080,T,0.9983710650921749
218,1111038080,N,0.9999999999999998
219,2840002333,N,1.0
220,7218063052,FD,3.9327221504309304
221,7218063979,T,1.5968306227894886
222,3800031838,N,0.9999999999999998
223,7218063983,F,2.5708485114814508
224,3700031613,F,1.2798644581568572
225,7218063979,D,3.1529095209517335
226,3700019521,FD,2.5551062416442414
227,1111085350,D,1.3337791429061205
228,3800031829,FD,2.6721922108223564
229,1111009477,T,0.9309797869314305
230,7797508004,N,1.0
231,1111085319,T,1.1283743958086094
232,1600027527,D,2.0059450689399827
233,7192100337,FD,2.684211918930695
234,1111087396,D,2.271571473832484
235,1600027527,N,1.0
236,4116709448,N,1.0
237,3000006340,N,1.0
238,4116709565,D,1.0371161532046662
239,7797508006,FD,2.018160292590281
240,88491201427,FD,2.7724421383958235
241,7797508004,T,1.125667285034312
242,1111087396,FD,2.656440571474348
243,3000006340,T,1.4575748990481707
244,3500068914,T,0.78181205057013
245,1111038078,FD,2.542279033689127
246,2840004770,D,1.693313596663381
247,3800031829,N,1.0
248,1111085345,F,1.2025121437981843
249,3800031829,F,1.5364350049279212
